HomeTeam,year,cpi,unemp,population
SDN,2000,169.3,3.1,1260495.0
SFN,2000,172.2,2.6,776733.0
TOR,2000,83.6,6.2,2481494.0
BOS,2000,172.3,3.3,589141.0
CHA,2000,168.8,4.2,2891582.0
CHN,2000,168.8,4.2,2891582.0
CLE,2000,156.3,4.8,478403.0
DET,2000,168.8,4.9,951270.0
LAN,2000,174.9,5.0,3694820.0
MIL,2000,168.1,4.1,596956.0
MIN,2000,167.2,2.9,367118.0
NYA,2000,167.5,5.1,8020000.0
PIT,2000,168.8,3.7,2450000.0
SDN,2000,169.3,3.1,1260495.0
SFN,2000,172.2,2.6,776733.0
TOR,2000,83.6,6.2,2481494.0
BOS,2000,172.3,3.3,589141.0
CHA,2000,168.8,4.2,2891582.0
CHN,2000,168.8,4.2,2891582.0
CLE,2000,156.3,4.8,478403.0
COL,2000,172.2,2.9,554636.0
COL,2000,172.2,2.9,554636.0
DET,2000,168.8,4.9,951270.0
LAN,2000,174.9,5.0,3694820.0
MIL,2000,168.1,4.1,596956.0
MIN,2000,167.2,2.9,367118.0
NYA,2000,167.5,5.1,8020000.0
PHI,2000,170.1,6.3,5880000.0
PIT,2000,168.8,3.7,2450000.0
SDN,2000,169.3,3.1,1260495.0
TOR,2000,83.6,6.2,2481494.0
ARI,2000,172.6,3.4,3440000.0
BOS,2000,172.3,3.3,589141.0
CHN,2000,168.8,4.2,2891582.0
TEX,2000,152.5,2.9,5499824.0
TOR,2000,83.6,6.2,2481494.0
ARI,2000,172.6,3.4,3440000.0
ATL,2000,162.3,3.6,416474.0
CHA,2000,168.8,4.2,2891582.0
CIN,2000,162.8,3.5,331285.0
CLE,2000,156.3,4.8,478403.0
DET,2000,168.8,4.9,951270.0
LAN,2000,174.9,5.0,3694820.0
MIA,2000,159.7,4.7,362470.0
MIN,2000,167.2,2.9,367118.0
NYN,2000,167.5,5.1,8020000.0
SLN,2000,163.5,4.2,348189.0
TEX,2000,152.5,2.9,5499824.0
TOR,2000,83.6,6.2,2481494.0
WAS,2000,175.8,3.3,572059.0
ARI,2000,172.6,3.4,3440000.0
ATL,2000,162.3,3.6,416474.0
BAL,2000,173.2,4.7,651154.0
CHA,2000,168.8,4.2,2891582.0
CIN,2000,162.8,3.5,331285.0
CLE,2000,156.3,4.8,478403.0
DET,2000,168.8,4.9,951270.0
LAN,2000,174.9,5.0,3694820.0
MIA,2000,159.7,4.7,362470.0
MIN,2000,167.2,2.9,367118.0
NYN,2000,167.5,5.1,8020000.0
SLN,2000,163.5,4.2,348189.0
TEX,2000,152.5,2.9,5499824.0
TOR,2000,83.6,6.2,2481494.0
WAS,2000,175.8,3.3,572059.0
ARI,2000,172.6,3.4,3440000.0
ATL,2000,162.3,3.6,416474.0
BAL,2000,173.2,4.7,651154.0
CIN,2000,162.8,3.5,331285.0
CLE,2000,156.3,4.8,478403.0
MIA,2000,159.7,4.7,362470.0
MIN,2000,167.2,2.9,367118.0
NYN,2000,167.5,5.1,8020000.0
SLN,2000,163.5,4.2,348189.0
TOR,2000,83.6,6.2,2481494.0
WAS,2000,175.8,3.3,572059.0
ARI,2000,172.6,3.4,3440000.0
ATL,2000,162.3,3.6,416474.0
CHA,2000,168.8,4.2,2891582.0
CIN,2000,162.8,3.5,331285.0
HOU,2000,177.0,4.1,1953631.0
MIA,2000,159.7,4.7,362470.0
OAK,2000,167.2,3.5,399000.0
SEA,2000,172.2,3.9,563374.0
SLN,2000,163.5,4.2,348189.0
TBA,2000,173.5,3.5,2582384.0
TEX,2000,152.5,2.9,5499824.0
TOR,2000,83.6,6.2,2481494.0
WAS,2000,175.8,3.3,572059.0
ARI,2000,172.6,3.4,3440000.0
ATL,2000,162.3,3.6,416474.0
CHA,2000,168.8,4.2,2891582.0
CIN,2000,162.8,3.5,331285.0
HOU,2000,177.0,4.1,1953631.0
MIA,2000,159.7,4.7,362470.0
NYN,2000,167.5,5.1,8020000.0
NYN,2000,167.5,5.1,8020000.0
OAK,2000,167.2,3.5,399000.0
SEA,2000,172.2,3.9,563374.0
SLN,2000,163.5,4.2,348189.0
TBA,2000,173.5,3.5,2582384.0
TEX,2000,152.5,2.9,5499824.0
TOR,2000,83.6,6.2,2481494.0
WAS,2000,175.8,3.3,572059.0
ARI,2000,172.6,3.4,3440000.0
ATL,2000,162.3,3.6,416474.0
CHA,2000,168.8,4.2,2891582.0
CIN,2000,162.8,3.5,331285.0
HOU,2000,177.0,4.1,1953631.0
MIA,2000,159.7,4.7,362470.0
NYN,2000,167.5,5.1,8020000.0
OAK,2000,167.2,3.5,399000.0
SEA,2000,172.2,3.9,563374.0
SLN,2000,163.5,4.2,348189.0
TBA,2000,173.5,3.5,2582384.0
TEX,2000,152.5,2.9,5499824.0
TOR,2000,83.6,6.2,2481494.0
WAS,2000,175.8,3.3,572059.0
ANA,2000,174.9,5.0,3694820.0
CHA,2000,168.8,4.2,2891582.0
MIA,2000,159.7,4.7,362470.0
NYA,2000,167.5,5.1,8020000.0
NYN,2000,167.5,5.1,8020000.0
OAK,2000,167.2,3.5,399000.0
SEA,2000,172.2,3.9,563374.0
TEX,2000,152.5,2.9,5499824.0
ANA,2000,174.9,5.0,3694820.0
ATL,2000,162.3,3.6,416474.0
CHA,2000,168.8,4.2,2891582.0
HOU,2000,177.0,4.1,1953631.0
KCA,2000,170.9,4.0,459787.0
MIA,2000,159.7,4.7,362470.0
NYA,2000,167.5,5.1,8020000.0
NYN,2000,167.5,5.1,8020000.0
OAK,2000,167.2,3.5,399000.0
PHI,2000,170.1,6.3,5880000.0
PIT,2000,168.8,3.7,2450000.0
SEA,2000,172.2,3.9,563374.0
SLN,2000,163.5,4.2,348189.0
TEX,2000,152.5,2.9,5499824.0
WAS,2000,175.8,3.3,572059.0
ANA,2000,174.9,5.0,3694820.0
ATL,2000,162.3,3.6,416474.0
CHA,2000,168.8,4.2,2891582.0
HOU,2000,177.0,4.1,1953631.0
KCA,2000,170.9,4.0,459787.0
MIA,2000,159.7,4.7,362470.0
NYA,2000,167.5,5.1,8020000.0
NYN,2000,167.5,5.1,8020000.0
OAK,2000,167.2,3.5,399000.0
PHI,2000,170.1,6.3,5880000.0
PIT,2000,168.8,3.7,2450000.0
SEA,2000,172.2,3.9,563374.0
SLN,2000,163.5,4.2,348189.0
TEX,2000,152.5,2.9,5499824.0
WAS,2000,175.8,3.3,572059.0
ANA,2000,174.9,5.0,3694820.0
ATL,2000,162.3,3.6,416474.0
CHA,2000,168.8,4.2,2891582.0
HOU,2000,177.0,4.1,1953631.0
NYN,2000,167.5,5.1,8020000.0
PHI,2000,170.1,6.3,5880000.0
PIT,2000,168.8,3.7,2450000.0
SLN,2000,163.5,4.2,348189.0
ANA,2000,174.9,5.0,3694820.0
BAL,2000,173.2,4.7,651154.0
CHN,2000,168.8,4.2,2891582.0
CLE,2000,156.3,4.8,478403.0
COL,2000,172.2,2.9,554636.0
DET,2000,168.8,4.9,951270.0
KCA,2000,170.9,4.0,459787.0
LAN,2000,174.9,5.0,3694820.0
MIL,2000,168.1,4.1,596956.0
MIN,2000,167.2,2.9,367118.0
NYA,2000,167.5,5.1,8020000.0
PHI,2000,170.1,6.3,5880000.0
PIT,2000,168.8,3.7,2450000.0
SDN,2000,169.3,3.1,1260495.0
SFN,2000,172.2,2.6,776733.0
ANA,2000,174.9,5.0,3694820.0
BAL,2000,173.2,4.7,651154.0
CHN,2000,168.8,4.2,2891582.0
CLE,2000,156.3,4.8,478403.0
COL,2000,172.2,2.9,554636.0
DET,2000,168.8,4.9,951270.0
KCA,2000,170.9,4.0,459787.0
LAN,2000,174.9,5.0,3694820.0
MIL,2000,168.1,4.1,596956.0
MIN,2000,167.2,2.9,367118.0
NYA,2000,167.5,5.1,8020000.0
PHI,2000,170.1,6.3,5880000.0
PIT,2000,168.8,3.7,2450000.0
SDN,2000,169.3,3.1,1260495.0
SFN,2000,172.2,2.6,776733.0
ANA,2000,174.9,5.0,3694820.0
BAL,2000,173.2,4.7,651154.0
CHN,2000,168.8,4.2,2891582.0
CLE,2000,156.3,4.8,478403.0
COL,2000,172.2,2.9,554636.0
DET,2000,168.8,4.9,951270.0
KCA,2000,170.9,4.0,459787.0
LAN,2000,174.9,5.0,3694820.0
MIL,2000,168.1,4.1,596956.0
MIN,2000,167.2,2.9,367118.0
NYA,2000,167.5,5.1,8020000.0
PHI,2000,170.1,6.3,5880000.0
PIT,2000,168.8,3.7,2450000.0
SDN,2000,169.3,3.1,1260495.0
SFN,2000,172.2,2.6,776733.0
BOS,2000,172.3,3.3,589141.0
CHA,2000,168.8,4.2,2891582.0
CLE,2000,156.3,4.8,478403.0
COL,2000,172.2,2.9,554636.0
KCA,2000,170.9,4.0,459787.0
LAN,2000,174.9,5.0,3694820.0
MIL,2000,168.1,4.1,596956.0
SDN,2000,169.3,3.1,1260495.0
SFN,2000,172.2,2.6,776733.0
BAL,2000,173.2,4.7,651154.0
BOS,2000,172.3,3.3,589141.0
CHA,2000,168.8,4.2,2891582.0
CHN,2000,168.8,4.2,2891582.0
CLE,2000,156.3,4.8,478403.0
COL,2000,172.2,2.9,554636.0
KCA,2000,170.9,4.0,459787.0
LAN,2000,174.9,5.0,3694820.0
MIL,2000,168.1,4.1,596956.0
MIN,2000,167.2,2.9,367118.0
PHI,2000,170.1,6.3,5880000.0
SDN,2000,169.3,3.1,1260495.0
SFN,2000,172.2,2.6,776733.0
SLN,2000,163.5,4.2,348189.0
TBA,2000,173.5,3.5,2582384.0
BAL,2000,173.2,4.7,651154.0
BOS,2000,172.3,3.3,589141.0
CHA,2000,168.8,4.2,2891582.0
CHN,2000,168.8,4.2,2891582.0
CLE,2000,156.3,4.8,478403.0
COL,2000,172.2,2.9,554636.0
KCA,2000,170.9,4.0,459787.0
LAN,2000,174.9,5.0,3694820.0
MIL,2000,168.1,4.1,596956.0
MIN,2000,167.2,2.9,367118.0
PHI,2000,170.1,6.3,5880000.0
SDN,2000,169.3,3.1,1260495.0
SFN,2000,172.2,2.6,776733.0
SLN,2000,163.5,4.2,348189.0
TBA,2000,173.5,3.5,2582384.0
BAL,2000,173.2,4.7,651154.0
CHN,2000,168.8,4.2,2891582.0
MIL,2000,168.1,4.1,596956.0
MIN,2000,167.2,2.9,367118.0
PHI,2000,170.1,6.3,5880000.0
SFN,2000,172.2,2.6,776733.0
SLN,2000,163.5,4.2,348189.0
TBA,2000,173.5,3.5,2582384.0
TOR,2000,83.6,6.2,2481494.0
ARI,2000,172.6,3.4,3440000.0
ATL,2000,162.3,3.6,416474.0
BOS,2000,172.3,3.3,589141.0
CHN,2000,168.8,4.2,2891582.0
CIN,2000,162.8,3.5,331285.0
KCA,2000,170.9,4.0,459787.0
LAN,2000,174.9,5.0,3694820.0
MIA,2000,159.7,4.7,362470.0
MIL,2000,168.1,4.1,596956.0
MIN,2000,167.2,2.9,367118.0
NYA,2000,167.5,5.1,8020000.0
SEA,2000,172.2,3.9,563374.0
SFN,2000,172.2,2.6,776733.0
TEX,2000,152.5,2.9,5499824.0
TOR,2000,83.6,6.2,2481494.0
ARI,2000,172.6,3.4,3440000.0
ATL,2000,162.3,3.6,416474.0
BOS,2000,172.3,3.3,589141.0
CHN,2000,168.8,4.2,2891582.0
CIN,2000,162.8,3.5,331285.0
KCA,2000,170.9,4.0,459787.0
LAN,2000,174.9,5.0,3694820.0
MIA,2000,159.7,4.7,362470.0
MIL,2000,168.1,4.1,596956.0
MIN,2000,167.2,2.9,367118.0
NYA,2000,167.5,5.1,8020000.0
SEA,2000,172.2,3.9,563374.0
SFN,2000,172.2,2.6,776733.0
TEX,2000,152.5,2.9,5499824.0
TOR,2000,83.6,6.2,2481494.0
ARI,2000,172.6,3.4,3440000.0
ATL,2000,162.3,3.6,416474.0
BOS,2000,172.3,3.3,589141.0
CHN,2000,168.8,4.2,2891582.0
CIN,2000,162.8,3.5,331285.0
KCA,2000,170.9,4.0,459787.0
LAN,2000,174.9,5.0,3694820.0
MIA,2000,159.7,4.7,362470.0
MIL,2000,168.1,4.1,596956.0
MIN,2000,167.2,2.9,367118.0
NYA,2000,167.5,5.1,8020000.0
SEA,2000,172.2,3.9,563374.0
TEX,2000,152.5,2.9,5499824.0
TOR,2000,83.6,6.2,2481494.0
ANA,2000,174.9,5.0,3694820.0
ARI,2000,172.6,3.4,3440000.0
BOS,2000,172.3,3.3,589141.0
CHN,2000,168.8,4.2,2891582.0
DET,2000,168.8,4.9,951270.0
HOU,2000,177.0,4.1,1953631.0
MIA,2000,159.7,4.7,362470.0
MIN,2000,167.2,2.9,367118.0
NYA,2000,167.5,5.1,8020000.0
SFN,2000,172.2,2.6,776733.0
TEX,2000,152.5,2.9,5499824.0
TOR,2000,83.6,6.2,2481494.0
ANA,2000,174.9,5.0,3694820.0
ARI,2000,172.6,3.4,3440000.0
BOS,2000,172.3,3.3,589141.0
CHN,2000,168.8,4.2,2891582.0
CIN,2000,162.8,3.5,331285.0
HOU,2000,177.0,4.1,1953631.0
MIA,2000,159.7,4.7,362470.0
MIN,2000,167.2,2.9,367118.0
NYA,2000,167.5,5.1,8020000.0
PIT,2000,168.8,3.7,2450000.0
SFN,2000,172.2,2.6,776733.0
TEX,2000,152.5,2.9,5499824.0
TOR,2000,83.6,6.2,2481494.0
WAS,2000,175.8,3.3,572059.0
ANA,2000,174.9,5.0,3694820.0
ARI,2000,172.6,3.4,3440000.0
BOS,2000,172.3,3.3,589141.0
CHN,2000,168.8,4.2,2891582.0
CIN,2000,162.8,3.5,331285.0
DET,2000,168.8,4.9,951270.0
HOU,2000,177.0,4.1,1953631.0
MIA,2000,159.7,4.7,362470.0
MIN,2000,167.2,2.9,367118.0
PIT,2000,168.8,3.7,2450000.0
SFN,2000,172.2,2.6,776733.0
TEX,2000,152.5,2.9,5499824.0
TOR,2000,83.6,6.2,2481494.0
WAS,2000,175.8,3.3,572059.0
ANA,2000,174.9,5.0,3694820.0
BAL,2000,173.2,4.7,651154.0
CHN,2000,168.8,4.2,2891582.0
CIN,2000,162.8,3.5,331285.0
CLE,2000,156.3,4.8,478403.0
MIA,2000,159.7,4.7,362470.0
NYA,2000,167.5,5.1,8020000.0
OAK,2000,167.2,3.5,399000.0
PIT,2000,168.8,3.7,2450000.0
WAS,2000,175.8,3.3,572059.0
ANA,2000,174.9,5.0,3694820.0
BAL,2000,173.2,4.7,651154.0
CHA,2000,168.8,4.2,2891582.0
CLE,2000,156.3,4.8,478403.0
COL,2000,172.2,2.9,554636.0
DET,2000,168.8,4.9,951270.0
HOU,2000,177.0,4.1,1953631.0
NYN,2000,167.5,5.1,8020000.0
OAK,2000,167.2,3.5,399000.0
PHI,2000,170.1,6.3,5880000.0
PIT,2000,168.8,3.7,2450000.0
SDN,2000,169.3,3.1,1260495.0
SLN,2000,163.5,4.2,348189.0
TBA,2000,173.5,3.5,2582384.0
WAS,2000,175.8,3.3,572059.0
ANA,2000,174.9,5.0,3694820.0
BAL,2000,173.2,4.7,651154.0
CHA,2000,168.8,4.2,2891582.0
CLE,2000,156.3,4.8,478403.0
COL,2000,172.2,2.9,554636.0
DET,2000,168.8,4.9,951270.0
HOU,2000,177.0,4.1,1953631.0
NYN,2000,167.5,5.1,8020000.0
OAK,2000,167.2,3.5,399000.0
PHI,2000,170.1,6.3,5880000.0
PIT,2000,168.8,3.7,2450000.0
SDN,2000,169.3,3.1,1260495.0
SLN,2000,163.5,4.2,348189.0
TBA,2000,173.5,3.5,2582384.0
WAS,2000,175.8,3.3,572059.0
ANA,2000,174.9,5.0,3694820.0
BAL,2000,173.2,4.7,651154.0
CHA,2000,168.8,4.2,2891582.0
CLE,2000,156.3,4.8,478403.0
COL,2000,172.2,2.9,554636.0
DET,2000,168.8,4.9,951270.0
HOU,2000,177.0,4.1,1953631.0
NYN,2000,167.5,5.1,8020000.0
OAK,2000,167.2,3.5,399000.0
PHI,2000,170.1,6.3,5880000.0
PIT,2000,168.8,3.7,2450000.0
SDN,2000,169.3,3.1,1260495.0
SLN,2000,163.5,4.2,348189.0
TBA,2000,173.5,3.5,2582384.0
WAS,2000,175.8,3.3,572059.0
HOU,2000,177.0,4.1,1953631.0
OAK,2000,167.2,3.5,399000.0
SEA,2000,172.2,3.9,563374.0
TEX,2000,152.5,2.9,5499824.0
TOR,2000,83.6,6.2,2481494.0
ANA,2000,174.9,5.0,3694820.0
ATL,2000,162.3,3.6,416474.0
CHN,2000,168.8,4.2,2891582.0
CIN,2000,162.8,3.5,331285.0
CLE,2000,156.3,4.8,478403.0
MIA,2000,159.7,4.7,362470.0
MIL,2000,168.1,4.1,596956.0
NYA,2000,167.5,5.1,8020000.0
NYN,2000,167.5,5.1,8020000.0
OAK,2000,167.2,3.5,399000.0
PHI,2000,170.1,6.3,5880000.0
SEA,2000,172.2,3.9,563374.0
TEX,2000,152.5,2.9,5499824.0
TOR,2000,83.6,6.2,2481494.0
WAS,2000,175.8,3.3,572059.0
ANA,2000,174.9,5.0,3694820.0
ATL,2000,162.3,3.6,416474.0
CHN,2000,168.8,4.2,2891582.0
CIN,2000,162.8,3.5,331285.0
CLE,2000,156.3,4.8,478403.0
MIA,2000,159.7,4.7,362470.0
NYA,2000,167.5,5.1,8020000.0
NYN,2000,167.5,5.1,8020000.0
OAK,2000,167.2,3.5,399000.0
PHI,2000,170.1,6.3,5880000.0
SEA,2000,172.2,3.9,563374.0
TEX,2000,152.5,2.9,5499824.0
TOR,2000,83.6,6.2,2481494.0
WAS,2000,175.8,3.3,572059.0
ATL,2000,162.3,3.6,416474.0
CIN,2000,162.8,3.5,331285.0
MIA,2000,159.7,4.7,362470.0
OAK,2000,167.2,3.5,399000.0
PHI,2000,170.1,6.3,5880000.0
TEX,2000,152.5,2.9,5499824.0
WAS,2000,175.8,3.3,572059.0
ANA,2000,174.9,5.0,3694820.0
ATL,2000,162.3,3.6,416474.0
BOS,2000,172.3,3.3,589141.0
CHN,2000,168.8,4.2,2891582.0
CLE,2000,156.3,4.8,478403.0
MIA,2000,159.7,4.7,362470.0
MIL,2000,168.1,4.1,596956.0
NYN,2000,167.5,5.1,8020000.0
OAK,2000,167.2,3.5,399000.0
PHI,2000,170.1,6.3,5880000.0
PIT,2000,168.8,3.7,2450000.0
SEA,2000,172.2,3.9,563374.0
TOR,2000,83.6,6.2,2481494.0
WAS,2000,175.8,3.3,572059.0
ANA,2000,174.9,5.0,3694820.0
ATL,2000,162.3,3.6,416474.0
BOS,2000,172.3,3.3,589141.0
CHN,2000,168.8,4.2,2891582.0
CLE,2000,156.3,4.8,478403.0
MIA,2000,159.7,4.7,362470.0
MIL,2000,168.1,4.1,596956.0
NYN,2000,167.5,5.1,8020000.0
OAK,2000,167.2,3.5,399000.0
PHI,2000,170.1,6.3,5880000.0
PIT,2000,168.8,3.7,2450000.0
SEA,2000,172.2,3.9,563374.0
TEX,2000,152.5,2.9,5499824.0
TOR,2000,83.6,6.2,2481494.0
WAS,2000,175.8,3.3,572059.0
ANA,2000,174.9,5.0,3694820.0
ATL,2000,162.3,3.6,416474.0
BOS,2000,172.3,3.3,589141.0
CHN,2000,168.8,4.2,2891582.0
CLE,2000,156.3,4.8,478403.0
MIA,2000,159.7,4.7,362470.0
MIL,2000,168.1,4.1,596956.0
NYN,2000,167.5,5.1,8020000.0
OAK,2000,167.2,3.5,399000.0
PHI,2000,170.1,6.3,5880000.0
PIT,2000,168.8,3.7,2450000.0
SEA,2000,172.2,3.9,563374.0
TEX,2000,152.5,2.9,5499824.0
TOR,2000,83.6,6.2,2481494.0
WAS,2000,175.8,3.3,572059.0
LAN,2000,174.9,5.0,3694820.0
MIL,2000,168.1,4.1,596956.0
MIL,2000,168.1,4.1,596956.0
SDN,2000,169.3,3.1,1260495.0
TOR,2000,83.6,6.2,2481494.0
ARI,2000,172.6,3.4,3440000.0
BAL,2000,173.2,4.7,651154.0
BOS,2000,172.3,3.3,589141.0
CHA,2000,168.8,4.2,2891582.0
COL,2000,172.2,2.9,554636.0
DET,2000,168.8,4.9,951270.0
HOU,2000,177.0,4.1,1953631.0
KCA,2000,170.9,4.0,459787.0
LAN,2000,174.9,5.0,3694820.0
MIL,2000,168.1,4.1,596956.0
MIN,2000,167.2,2.9,367118.0
SDN,2000,169.3,3.1,1260495.0
SFN,2000,172.2,2.6,776733.0
SLN,2000,163.5,4.2,348189.0
TBA,2000,173.5,3.5,2582384.0
ARI,2000,172.6,3.4,3440000.0
BAL,2000,173.2,4.7,651154.0
BOS,2000,172.3,3.3,589141.0
CHA,2000,168.8,4.2,2891582.0
COL,2000,172.2,2.9,554636.0
DET,2000,168.8,4.9,951270.0
HOU,2000,177.0,4.1,1953631.0
KCA,2000,170.9,4.0,459787.0
LAN,2000,174.9,5.0,3694820.0
MIL,2000,168.1,4.1,596956.0
MIN,2000,167.2,2.9,367118.0
SDN,2000,169.3,3.1,1260495.0
SFN,2000,172.2,2.6,776733.0
SLN,2000,163.5,4.2,348189.0
TBA,2000,173.5,3.5,2582384.0
ARI,2000,172.6,3.4,3440000.0
BAL,2000,173.2,4.7,651154.0
BOS,2000,172.3,3.3,589141.0
CHA,2000,168.8,4.2,2891582.0
COL,2000,172.2,2.9,554636.0
DET,2000,168.8,4.9,951270.0
HOU,2000,177.0,4.1,1953631.0
KCA,2000,170.9,4.0,459787.0
MIL,2000,168.1,4.1,596956.0
MIN,2000,167.2,2.9,367118.0
SFN,2000,172.2,2.6,776733.0
SLN,2000,163.5,4.2,348189.0
